index,車両本体価格(万円),走行距離(km),車歴,修復歴,保証,ハイブリッド,車検,都道府県
101,126.8,62000,9,0,1,0,1,岡山県
102,161.8,66000,8,0,1,1,1,広島県
103,233.8,32000,3,0,1,0,0,愛知県
104,136.8,82000,7,0,1,1,1,宮城県
105,150.2,36000,7,0,1,0,1,宮崎県
106,157.9,42000,7,0,1,0,1,愛知県
107,96.4,78000,10,0,1,0,1,奈良県
108,143.8,26000,8,0,1,0,1,千葉県
109,124.9,67000,9,0,1,0,1,和歌山県
110,114.8,64000,9,0,1,0,1,群馬県
111,205.8,39000,5,0,1,1,1,埼玉県
112,229.8,53000,4,0,0,1,0,岡山県
113,207.9,41000,5,0,1,1,1,宮城県
114,247.7,21000,3,0,1,1,1,栃木県
115,172.2,24000,7,0,1,0,1,香川県
116,113.9,50000,9,0,1,0,1,滋賀県
117,259.9,24000,3,0,1,1,1,愛知県
118,299.8,14000,3,0,1,1,1,埼玉県
119,149.8,66000,7,0,1,1,1,埼玉県
120,179.9,60000,6,0,1,1,1,大阪府
121,109.9,80000,10,0,1,1,1,千葉県
122,269.9,12000,1,0,1,1,1,神奈川県
123,137.7,71000,7,0,0,1,0,千葉県
124,159.8,58000,8,0,1,1,1,岡山県
125,119.6,75000,9,0,1,0,1,大分県
126,134.8,58000,8,0,0,0,1,千葉県
127,153.8,46000,8,0,1,0,1,東京都
128,214.8,68000,3,0,0,1,0,新潟県
129,239.8,3000,3,0,0,1,1,埼玉県
130,173.7,40000,7,0,1,1,1,茨城県
131,293.8,22000,3,0,1,1,1,愛知県
132,181.8,70000,5,0,1,1,1,宮城県
133,244.9,38000,3,0,1,1,1,大阪府
134,239.2,74000,4,0,1,1,1,宮城県
135,199.8,33000,4,0,1,0,1,熊本県
136,249.9,10,1,0,1,1,1,岐阜県
137,129.7,51000,10,0,1,0,1,愛知県
138,109.9,79000,9,0,1,1,1,埼玉県
139,299.8,5000,2,0,1,1,1,熊本県
140,219.8,4000,3,0,0,0,1,栃木県
141,183.8,48000,7,0,1,0,1,福島県
142,89.8,78000,10,0,1,0,1,神奈川県
143,157.8,52000,7,0,1,0,1,埼玉県
144,209.8,31000,4,0,1,1,1,大阪府
145,149.9,46000,7,0,1,0,1,愛媛県
146,220.3,50000,3,0,0,1,0,岡山県
147,140.9,43000,8,0,1,0,1,兵庫県
148,138.5,63000,6,0,1,0,1,埼玉県
149,117.8,71000,10,0,1,1,1,愛知県
150,79.9,77000,11,0,1,0,1,福井県
151,231.5,54000,3,0,1,1,1,大阪府
152,116.9,96000,8,0,0,1,0,岡山県
153,109.9,50000,10,0,1,0,1,香川県
154,253.8,21000,3,0,0,1,0,岡山県
155,159.8,64000,8,0,1,1,1,大阪府
156,165.8,37000,7,0,1,0,1,大阪府
157,249.8,7000,3,0,0,1,1,千葉県
158,109.9,83000,9,0,1,1,1,千葉県
159,180.4,37000,5,0,1,0,1,愛知県
160,139.8,53000,10,0,1,1,1,佐賀県
161,263.2,6000,3,0,1,1,1,兵庫県
162,128.8,77000,8,0,1,0,1,佐賀県
163,251.8,9000,2,0,1,0,1,三重県
164,129.4,19000,9,0,1,0,1,埼玉県
165,137.6,81000,8,0,1,1,1,愛知県
166,179.9,44000,7,0,1,0,1,茨城県
167,214.9,36000,4,0,1,1,1,栃木県
168,179.8,38000,7,0,1,0,1,愛媛県
169,109.2,50000,9,0,1,0,1,大阪府
170,105.8,65000,11,0,1,0,1,神奈川県
171,249.8,44000,3,0,1,1,1,佐賀県
172,259.9,8000,3,0,0,1,1,千葉県
173,297.8,21000,3,0,1,1,1,愛媛県
174,249.9,7000,3,0,1,0,1,愛媛県
175,247.8,15000,2,0,1,0,1,岐阜県
176,114.9,57000,10,0,1,1,1,大阪府
177,168.9,33000,5,0,1,0,1,栃木県
178,187.8,24000,7,0,1,0,1,福岡県
179,109.9,94000,8,0,1,0,1,千葉県
180,179.8,73000,5,0,1,1,1,佐賀県
181,206.8,36000,5,0,1,0,1,埼玉県
182,189.8,60000,4,0,1,0,1,熊本県
183,258.8,67000,3,0,1,1,1,石川県
184,239.8,6000,3,0,0,1,1,栃木県
185,129.9,52000,9,0,1,0,1,愛知県
186,189.8,41000,5,0,1,0,1,高知県
187,268.3,46000,3,0,1,1,1,三重県
188,295.9,18000,2,0,1,1,1,愛知県
189,189.6,52000,3,0,0,0,0,千葉県
190,259.9,6,0,0,1,1,1,熊本県
191,139.9,86000,7,0,1,1,1,三重県
192,82.8,78000,10,0,1,0,0,埼玉県
193,147.8,79000,8,0,1,1,1,山口県
194,259.8,16000,3,0,0,1,1,千葉県
195,168.6,52000,7,0,1,0,1,福岡県
196,290.8,14,1,0,1,1,1,群馬県
197,125.8,86000,8,0,1,0,1,沖縄県
198,146.9,55000,7,0,1,0,1,滋賀県
199,189.8,36000,6,0,1,0,1,静岡県
